Artista,Nombre,Album,Imagen del Álbum,Popularidad,Duración (ms),Año de Lanzamiento
Taylor Swift,High Infidelity,Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,72,231475,2022-10-22
Taylor Swift,Glitch,Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,71,148781,2022-10-22
Taylor Swift,"Would've, Could've, Should've",Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,76,260361,2022-10-22
Taylor Swift,Dear Reader,Midnights (3am Edition),https://i.scdn.co/image/ab67616d0000b273e0b60c608586d88252b8fbc0,71,225194,2022-10-22
Taylor Swift,Lavender Haze,Midnights,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,85,202395,2022-10-21
Taylor Swift,Maroon,Midnights,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,81,218270,2022-10-21
Taylor Swift,Anti-Hero,Midnights,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,92,200690,2022-10-21
Taylor Swift,Snow On The Beach (feat. Lana Del Rey),Midnights,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,79,256124,2022-10-21
Taylor Swift,"You're On Your Own, Kid",Midnights,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,85,194206,2022-10-21
Taylor Swift,Midnight Rain,Midnights,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,85,174782,2022-10-21
Taylor Swift,Question...?,Midnights,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,75,210556,2022-10-21
Taylor Swift,Vigilante Shit,Midnights,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,81,164801,2022-10-21
Taylor Swift,Bejeweled,Midnights,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,84,194165,2022-10-21
Taylor Swift,Labyrinth,Midnights,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,76,247962,2022-10-21
Taylor Swift,Karma,Midnights,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,89,204852,2022-10-21
Taylor Swift,Sweet Nothing,Midnights,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,77,188496,2022-10-21
Taylor Swift,Mastermind,Midnights,https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5,78,191039,2022-10-21
Taylor Swift,State Of Grace (Taylor's Version),Red (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,72,295413,2021-11-12
Taylor Swift,Red (Taylor's Version),Red (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,81,223093,2021-11-12
Taylor Swift,Treacherous (Taylor's Version),Red (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,73,242720,2021-11-12
Taylor Swift,I Knew You Were Trouble (Taylor's Version),Red (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,81,219760,2021-11-12
Taylor Swift,All Too Well (Taylor's Version),Red (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,78,329160,2021-11-12
Taylor Swift,22 (Taylor's Version),Red (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,80,230960,2021-11-12
Taylor Swift,I Almost Do (Taylor's Version),Red (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,71,244586,2021-11-12
Taylor Swift,We Are Never Ever Getting Back Together (Taylor's Version),Red (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,81,193146,2021-11-12
Taylor Swift,Stay Stay Stay (Taylor's Version),Red (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,71,205786,2021-11-12
Taylor Swift,The Last Time (feat. Gary Lightbody of Snow Patrol) (Taylor’s Version),Red (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273318443aab3531a0558e79a4d,74,299080,2021-11-12
